"Stadur","Voktun","lon","lat"
"Arnarvatnsheiði","Plöntur",-20.6674485,65.12582925
"Bakkabrúnir í Víðidal","Jarðminjar",-20.577897,65.327758
"Bólugil í Skagafirði","Jarðminjar",-19.19464,65.45352
"Gauksstaðaá","Fuglar",-19.919477,65.911355
"Geitakarlsvötn","Fuglar",-20.250073,66.088592
"Glaumbæjarey","Fuglar",-19.46617,65.62173
"Guðlaugstungur-Álfgeirstungur","Plöntur",-19.4065494,64.9903622
"Hóp","Fuglar",-20.434731,65.574763
"Hóp og Vatnsdalur í Austur-Húnavatnssýslu","Plöntur",-20.267579,65.398568
"Hrútagil, Vesturárdal","Jarðminjar",-18.979233,65.272444
"Keta","Plöntur",-19.457206,65.6548865
"Kotagil","Jarðminjar",-19.038172,65.441468
"Nákuðungslögin við Bæ í Hrútafirði","Jarðminjar",-21.184391,65.293005
"Orravatnsrústir á Hofsafrétti","Plöntur",-18.533462,65.09874275
"Reykjafjall í Svartárgili","Jarðminjar",-19.4284,65.33609
"Reykjafoss í Skagafirði","Jarðminjar",-19.38202,65.49465
"Reynisstaðir","Fuglar",-19.52907,65.666482
"Skógar","Fuglar",-19.5553,65.70934
"Stóri-Hvarfsbær, Fitjárdal","Jarðminjar",-20.648302,65.286736
"Þorfinnsstaðir","Fuglar",-20.65706,65.512001
